backend,words,kib,kernel,gbps
scalar,64,0,gf2_xor,74.25
scalar,64,0,gf2_weight,13.12
scalar,64,0,gf2_inner,26.20
avx2,64,0,gf2_xor,132.25
avx2,64,0,gf2_weight,35.22
avx2,64,0,gf2_inner,59.18
avx512,64,0,gf2_xor,70.56
avx512,64,0,gf2_weight,90.50
avx512,64,0,gf2_inner,95.20
scalar,512,4,gf2_xor,68.40
scalar,512,4,gf2_weight,13.37
scalar,512,4,gf2_inner,25.16
avx2,512,4,gf2_xor,143.16
avx2,512,4,gf2_weight,38.95
avx2,512,4,gf2_inner,66.15
avx512,512,4,gf2_xor,80.04
avx512,512,4,gf2_weight,105.06
avx512,512,4,gf2_inner,119.63
scalar,4096,32,gf2_xor,59.51
scalar,4096,32,gf2_weight,13.85
scalar,4096,32,gf2_inner,26.07
avx2,4096,32,gf2_xor,66.99
avx2,4096,32,gf2_weight,38.47
avx2,4096,32,gf2_inner,55.88
avx512,4096,32,gf2_xor,53.41
avx512,4096,32,gf2_weight,114.24
avx512,4096,32,gf2_inner,50.68
scalar,65536,512,gf2_xor,54.45
scalar,65536,512,gf2_weight,13.88
scalar,65536,512,gf2_inner,25.67
avx2,65536,512,gf2_xor,55.25
avx2,65536,512,gf2_weight,33.36
avx2,65536,512,gf2_inner,50.05
avx512,65536,512,gf2_xor,44.74
avx512,65536,512,gf2_weight,50.57
avx512,65536,512,gf2_inner,47.26
scalar,1048576,8192,gf2_xor,30.90
scalar,1048576,8192,gf2_weight,13.82
scalar,1048576,8192,gf2_inner,23.72
avx2,1048576,8192,gf2_xor,30.97
avx2,1048576,8192,gf2_weight,27.49
avx2,1048576,8192,gf2_inner,31.45
avx512,1048576,8192,gf2_xor,30.68
avx512,1048576,8192,gf2_weight,31.81
avx512,1048576,8192,gf2_inner,32.45
